Restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link
124,Sai Aruna,3.7,"Hyderabadi, North Indian, Biryani, Beverages, Chinese, Sichuan",120,"Brookefield, Bangalore",77.7168891,12.9668213,https://www.zomato.com/bangalore/sai-aruna-brookefield-bangalore/order
125,Paratha Envy,4.3,North Indian,1906,"Koramangala 6th Block, Bangalore",77.6238477,12.9390255,https://www.zomato.com/bangalore/paratha-envy-koramangala-6th-block-bangalore/order
126,Sri Udupi Park,4.2,"South Indian, Chinese, Street Food, Beverages, North Indian, Shake",7638,"Residency Road, Bangalore",77.6206061,13.0529476,https://www.zomato.com/bangalore/sri-udupi-park-residency-road/order
127,Sri Udupi Food Hub,4.1,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages",204,"Majestic, Bangalore",77.5728757,12.9757079,https://www.zomato.com/bangalore/sri-udupi-food-hub-majestic-bangalore/order
128,Sri Alok Park,4.1,"South Indian, North Indian, Chinese, Street Food, Beverages, Ice Cream, Shake",9676,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/sri-alok-park-whitefield-bangalore/order
129,Ayodhya Upachar,4.1,"South Indian, North Indian, Chinese",77500,"Banashankari, Bangalore",77.59445195,12.96528325,https://www.zomato.com/bangalore/ayodhya-upachar-banashankari/order
130,Sagar Fast Food,4.1,"South Indian, North Indian, Street Food, Chinese, Beverages, Shake",9195,"Koramangala 8th Block, Bangalore",77.617338,12.9408685,https://www.zomato.com/bangalore/sagar-fast-food-koramangala-8th-block/order
131,Madeena Hotel,4,"Biryani, Kebab, North Indian",24300,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/bangalore/madeena-hotel-koramangala-5th-block-bangalore/order
132,99 Variety Dosa & Pav Bhaji,3.7,"South Indian, Maharashtrian",13000,"Koramangala 6th Block, Bangalore",77.6238477,12.9390255,https://www.zomato.com/bangalore/99-variety-dosa-pav-bhaji-koramangala-6th-block-bangalore/order
133,New Punjabi Food Corner,4,"North Indian, Chinese, Mughlai, Beverages",31600,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/new-punjabi-food-corner-electronic-city/order
134,Swadista Aahar,3.9,"South Indian, North Indian, Chinese, Street Food",53800,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/swadista-aahar-btm/order
135,WOW! Momo,4.2,"Momos, Fast Food, Tibetan",1413,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/wow-momo-6-whitefield-bangalore/order
136,Udupi Veg,4.1,"South Indian, Chinese",565,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/udupi-veg-new-bel-road-bangalore/order
137,Goli Vada Pav No. 1,4.3,"Street Food, Burger, Fast Food, Ice Cream",2535,"Varthur Main Road, Whitefield, Bangalore",77.7471103,12.9413238,https://www.zomato.com/bangalore/goli-vada-pav-no-1-1-varthur-main-road-whitefield-bangalore/order
138,Krishna Vaibhava,4.2,"South Indian, North Indian, Mithai, Chinese, Biryani",17600,"Vijay Nagar, Bangalore",77.61250656,12.96591365,https://www.zomato.com/bangalore/krishna-vaibhava-vijay-nagar-bangalore/order
139,Natural Ice Cream,4.6,"Ice Cream, Beverages",2300,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/natural-ice-cream-sarjapur-road/order
140,Hotel Abooz- Eat 'N' Meet Restaurant,3.8,"North Indian, Mughlai, South Indian, Fast Food, Seafood, Desserts, Beverages",548,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/hotel-abooz-eat-n-meet-restaurant-whitefield-bangalore/order
141,Behrouz Biryani,4,"Biryani, Kebab, Hyderabadi, Lucknowi",4475,"ITPL Main Road, Whitefield, Bangalore",77.7272748,12.9805104,https://www.zomato.com/bangalore/behrouz-biryani-itpl-main-road-whitefield-bangalore/order
142,Chaayos Chai+Snacks=Relax,4.1,"Tea, Beverages",885,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/chaayos-chai-snacks-relax-2-hsr-bangalore/order
143,RNR Biryani - Taste Of 1953,4.3,"Biryani, South Indian, Desserts, Beverages, Andhra",1290,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-1-jayanagar-bangalore/order
144,Andhra Gunpowder,4.2,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",10700,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/andhra-gunpowder-btm-bangalore/order
145,Sri Vishnu Park,4,"South Indian, North Indian, Chinese, Biryani, Beverages, Desserts",22000,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/sri-vishnu-park-btm/order
146,CakeZone,4,"Bakery, Ice Cream",3391,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/cakezone-whitefield-bangalore/order
147,Behrouz Biryani,4.1,"Biryani, Kebab, Hyderabadi, Lucknowi",6107,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/behrouz-biryani-hsr-bangalore/order
148,Potful - Claypot Biryanis,3.9,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages",15600,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/potful-claypot-biryanis-sarjapur-road-bangalore/order
149,Ovenstory Pizza,4.3,"Pizza, Fast Food",3635,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/ovenstory-pizza-jayanagar-bangalore/order
150,Andhra Gunpowder,4.1,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",3560,"ITPL Main Road, Whitefield, Bangalore",77.7272748,12.9805104,https://www.zomato.com/bangalore/andhra-gunpowder-1-itpl-main-road-whitefield-bangalore/order
151,Behrouz Biryani,4.2,"Biryani, Kebab, Hyderabadi, Lucknowi",3674,"Sahakara Nagar, Bangalore",77.58006135,13.0621474,https://www.zomato.com/bangalore/behrouz-biryani-sahakara-nagar-bangalore/order
152,Five Star Chicken,4.2,"Roast Chicken, Burger, Fast Food, Wraps",566,"Sadashiv Nagar, Bangalore",77.58006135,13.0621474,https://www.zomato.com/bangalore/five-star-chicken-sadashiv-nagar/order
153,Andhra Gunpowder,4.2,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",383,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/andhra-gunpowder-jayanagar-bangalore/order
154,Truffles,4.3,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",348,"Bellandur, Bangalore",77.6782471,12.93103185,https://www.zomato.com/bangalore/truffles-bellandur-bangalore/order
155,Dum Biryani Hub,3.4,"Biryani, North Indian, Chinese, Desserts, Beverages, Sichuan",15000,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order
156,Empire Restaurant,4.1,"North Indian, Biryani, Kebab, Chinese, Beverages",11500,"Banashankari, Bangalore",77.59445195,12.96528325,https://www.zomato.com/bangalore/empire-restaurant-1-banashankari-bangalore/order
157,MOJO Pizza - 2X Toppings,4.5,"Pizza, Fast Food, Desserts",432,"Seshadripuram, Bangalore",77.5753419,12.9931876,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-seshadripuram-bangalore/order
158,Barbeque Nation,3.9,"Street Food, Mughlai, Biryani, North Indian, Desserts, Beverages, Bar Food",645,"Ulsoor, Bangalore",77.6246697,12.9778793,https://www.zomato.com/bangalore/barbeque-nation-ulsoor-bangalore/order
159,Subway,4,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",5675,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/subway-kalyan-nagar/order
160,Five Star Chicken,3.9,"Roast Chicken, Burger, Fast Food, Wraps",1,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/five-star-chicken-13-new-bel-road-bangalore/order
161,Punjabi Dhaba,4,"North Indian, Chinese, Mughlai",12700,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/punjabi-dhaba-hsr-bangalore/order
162,Hyderabad Biryaani House,4.1,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese",5539,"Richmond Road, Bangalore",77.6068229,12.9662452,https://www.zomato.com/bangalore/hyderabad-biryaani-house-1-richmond-road-bangalore/order
